Iterations	Fitness (Avergage from 30 samples)
0	433,587669558176
1	422,619386147258
2	420,297044300589
3	413,667185954599
4	410,634581905013
5	410,634581905013
6	410,028688667591
7	408,867137149224
8	408,470951150987
9	408,454219834189
10	407,507719864266
11	406,275721669187
12	406,275721669187
13	405,820891066583
14	405,650437221032
15	405,650437221032
16	405,650437221032
17	405,533037064211
18	404,456280874342
19	404,456280874342
20	403,572768455152
21	403,371071357133
22	402,731667203513
23	401,671720383006
24	399,957304601188
25	398,541145037623
26	397,974668946291
27	397,974668946291
28	397,974668946291
29	397,974668946291
30	396,829111219302
31	396,580326663018
32	396,539005250639
33	395,908018222525
34	395,908018222525
35	395,908018222525
36	394,975522461492
37	394,500040286753
38	393,548779612453
39	393,548779612453
40	393,387651931886
41	393,090927154933
42	393,090927154933
43	393,090927154933
44	393,090927154933
45	392,767876256793
46	392,767876256793
47	392,767876256793
48	392,369289924777
49	392,321521077
50	392,321521077
51	392,233653900559
52	392,233653900559
53	392,233653900559
54	392,233653900559
55	392,233653900559
56	391,994790326402
57	391,688317274701
58	391,688317274701
59	391,688317274701
60	391,688317274701
61	390,013348420572
62	389,58828929613
63	388,445121888403
64	388,283910750851
65	387,782019561876
66	386,797183954578
67	386,797183954578
68	385,60079211373
69	385,386216822453
70	385,386216822453
71	384,412585599537
72	384,412585599537
73	384,20359972508
74	384,106069946855
75	383,577572878222
76	383,577572878222
77	383,577572878222
78	383,043376126743
79	383,043376126743
80	383,043376126743
81	383,043376126743
82	382,377273453812
83	382,248970333465
84	382,248970333465
85	380,933327799031
86	380,933327799031
87	380,933327799031
88	379,815969870314
89	379,815969870314
90	379,815969870314
91	379,815969870314
92	379,815969870314
93	379,742241977039
94	379,586632199792
95	379,224568993048
96	379,224568993048
97	378,927783631272
98	378,927783631272
99	378,919236808458
100	378,919236808458
101	378,919236808458
102	378,271979004164
103	377,066972149225
104	376,620073305358
105	376,620073305358
106	376,372042039783
107	376,372042039783
108	376,372042039783
109	375,60191987675
110	375,299380326604
111	375,299380326604
112	375,299380326604
113	375,299380326604
114	374,624870091857
115	374,624870091857
116	374,522061487489
117	374,522061487489
118	373,928658564343
119	373,51877560173
120	373,51877560173
121	373,51877560173
122	373,51877560173
123	373,51877560173
124	371,604794957641
125	370,990418969726
126	370,990418969726
127	370,714271799942
128	370,714271799942
129	370,714271799942
130	369,578174323299
131	369,578174323299
132	369,460717126004
133	368,754045462093
134	368,754045462093
135	368,512761805428
136	368,504724896297
137	368,504724896297
138	368,439496273924
139	368,362715553192
140	368,362715553192
141	368,106730477889
142	368,035812807649
143	368,035812807649
144	367,690398387433
145	367,61611388215
146	367,61611388215
147	367,61611388215
148	367,61611388215
149	367,61611388215
150	367,61611388215
151	367,61514181064
152	367,604285490356
153	367,604285490356
154	367,317611187883
155	367,317611187883
156	367,317611187883
157	366,968593295876
158	366,968593295876
159	365,843018615176
160	365,843018615176
161	365,843018615176
162	365,843018615176
163	365,843018615176
164	365,843018615176
165	365,843018615176
166	365,843018615176
167	365,843018615176
168	365,795335269412
169	365,795335269412
170	365,271703718624
171	365,271703718624
172	365,271703718624
173	365,271703718624
174	365,271703718624
175	365,271703718624
176	365,258587153118
177	365,258587153118
178	363,927345027556
179	363,927345027556
180	363,238238107592
181	363,238238107592
182	361,657797123768
183	361,657797123768
184	361,626591589295
185	361,263998434862
186	361,159545731944
187	361,159545731944
188	360,923582964994
189	360,923582964994
190	360,923582964994
191	360,923582964994
192	359,541952891427
193	359,541952891427
194	359,541952891427
195	359,541952891427
196	359,541952891427
197	359,434097205761
198	359,434097205761
199	359,434097205761
200	359,345598014182
201	359,345598014182
202	359,345598014182
203	359,345598014182
204	359,345598014182
205	359,345598014182
206	359,345598014182
207	359,345598014182
208	359,345598014182
209	359,345598014182
210	359,345598014182
211	359,345598014182
212	358,576886827328
213	358,576886827328
214	358,576886827328
215	358,576886827328
216	358,576886827328
217	358,576886827328
218	358,576886827328
219	358,576886827328
220	358,576886827328
221	358,576886827328
222	358,560638357144
223	358,560638357144
224	358,560638357144
225	358,560638357144
226	358,505841980523
227	358,505841980523
228	358,355890322671
229	358,355890322671
230	358,090392723726
231	357,98143931431
232	357,98143931431
233	357,633962139325
234	357,633962139325
235	357,319976602524
236	357,187415944379
237	357,187415944379
238	357,187415944379
239	357,187415944379
240	356,532738458133
241	356,532738458133
242	356,532738458133
243	356,532738458133
244	356,532738458133
245	356,33207983399
246	356,33207983399
247	356,33207983399
248	356,33207983399
249	356,33207983399
250	356,33207983399
251	356,33207983399
252	356,33207983399
253	356,33207983399
254	356,117139216628
255	355,635835783159
256	355,628365809336
257	355,628365809336
258	355,523947744685
259	355,516715981505
260	355,21265479134
261	355,21265479134
262	354,276905585475
263	354,276905585475
264	353,931353551312
265	353,931353551312
266	353,516932192648
267	353,516932192648
268	353,479780225153
269	353,479780225153
270	353,479780225153
271	353,479780225153
272	353,479780225153
273	353,479780225153
274	353,479780225153
275	353,479780225153
276	353,479780225153
277	352,67679326439
278	352,67679326439
279	352,67679326439
280	352,67679326439
281	352,222961912595
282	352,222961912595
283	352,111299597661
284	352,111299597661
285	352,111299597661
286	352,111299597661
287	352,111299597661
288	351,883821979136
289	351,883821979136
290	351,883821979136
291	351,60268241304
292	351,60268241304
293	351,60268241304
294	351,60268241304
295	351,586520880354
296	351,586520880354
297	350,914728548395
298	350,914728548395
299	350,297438391977
300	350,01669838739
301	350,01669838739
302	349,920672617332
303	349,920672617332
304	349,920672617332
305	349,660812044611
306	349,660812044611
307	349,660812044611
308	349,632955761409
309	349,611902771788
310	349,59748640369
311	349,59748640369
312	349,59748640369
313	349,59748640369
314	349,59748640369
315	349,59748640369
316	349,596256187009
317	349,596256187009
318	349,596256187009
319	349,596256187009
320	349,596256187009
321	349,596256187009
322	349,596256187009
323	349,596256187009
324	349,596256187009
325	349,596256187009
326	349,596256187009
327	349,596256187009
328	349,520015623112
329	349,520015623112
330	349,520015623112
331	349,520015623112
332	349,520015623112
333	349,520015623112
334	349,186711153481
335	349,186711153481
336	349,186711153481
337	349,186711153481
338	349,172372366116
339	349,172372366116
340	349,07996783665
341	349,07996783665
342	349,07996783665
343	349,075901382841
344	349,075901382841
345	349,075901382841
346	349,075901382841
347	349,075901382841
348	349,075901382841
349	349,075901382841
350	349,064546345196
351	349,051094654884
352	349,051094654884
353	348,802416548966
354	348,802416548966
355	348,802416548966
356	348,802416548966
357	348,802416548966
358	348,796184217184
359	348,796184217184
360	348,796184217184
361	348,777808679435
362	348,777808679435
363	348,777808679435
364	348,774075369092
365	348,774075369092
366	348,774075369092
367	348,774075369092
368	348,48253117994
369	348,48253117994
370	348,48253117994
371	348,48253117994
372	348,48253117994
373	348,471591281592
374	348,471591281592
375	348,471591281592
376	348,471591281592
377	348,471591281592
378	348,471591281592
379	348,471591281592
380	348,299551638526
